group,lb,ub,epsilonG,ELAL,n
All,0.018,0.0585,0.0384,0.0405,2174
< 25,0.0389,0.1115,0.0758,0.0726,646
25 - 45,0.0088,0.0618,0.0355,0.053,1281
> 45,-0.1071,0.0166,-0.0448,0.1237,247
M,0.0377,0.0813,0.0597,0.0435,1837
F,-0.1313,-0.0249,-0.078,0.1065,337
M (< 25),0.0721,0.1501,0.1121,0.0779,526
F (< 25),-0.1719,0.0056,-0.083,0.1775,120
M (25 - 45),0.0241,0.0808,0.0528,0.0567,1093
F (25 - 45),-0.1361,0.0059,-0.0647,0.1421,188
M (> 45),-0.098,0.0332,-0.0317,0.1312,218
F (> 45),-0.3139,0.0365,-0.1431,0.3504,29
