"group","lb","ub","epsilonG","ELAL","n"
"F","-0.1411","-0.0606","-0.1008","0.0805",591
"< 25","-0.219","-0.0817","-0.1508","0.1372",201
"25 - 45","-0.1054","0.0013","-0.0516","0.1066",331
"> 45","-0.3261","-0.0794","-0.2067","0.2467",59
"< 25, Caucasian","-0.3407","-0.1129","-0.2312","0.2279",68
"< 25, African-American","-0.1941","-0.0166","-0.1052","0.1775",120
"25 - 45, Caucasian","-0.1025","0.0655","-0.0166","0.1681",129
"25 - 45, African-American","-0.1583","-0.0162","-0.0869","0.1421",188
"> 45, Caucasian","-0.4074","-0.0553","-0.2431","0.3521",27
"> 45, African-American","-0.336","0.0144","-0.1652","0.3504",29
