group,lb,ub,epsilonG,ELAL,n
All,0.0055,0.0387,0.0222,0.0331,3317
< 25,0.0182,0.0777,0.0483,0.0595,999
25 - 45,0.0017,0.0451,0.0235,0.0434,1924
> 45,-0.1001,-0.0019,-0.0507,0.0982,394
M,0.0258,0.062,0.044,0.0361,2726
F,-0.119,-0.0384,-0.0786,0.0805,591
M (< 25),0.0601,0.1245,0.0929,0.0645,798
F (< 25),-0.1968,-0.0596,-0.1286,0.1372,201
M (25 - 45),0.0106,0.0581,0.0345,0.0475,1593
F (25 - 45),-0.0832,0.0234,-0.0294,0.1066,331
M (> 45),-0.0806,0.0253,-0.0272,0.1059,335
F (> 45),-0.3039,-0.0572,-0.1846,0.2467,59
